ID,Date,station,depth_m,temp_c,do_mg_l,chl_a_ug_l,pH,turb_ntu,cond_uS,,Filename,Time_approx,,
190,9/14/2023,CGFB,20.24,6.65,7.92,2.1,7.28,2644.0*,30.4,Y,CGFB20230914,10:26,,
191,9/14/2023,CGFB,15.29,8.48,7.11,1.9,7.24,2622.0*,28.4,Y,CGFB20230914,10:28,,
192,9/14/2023,CGFB,10.38,11.53,7.95,1.34,7.2,2561.0*,36.2,Y,CGFB20230914,10:30,,
193,9/14/2023,CGFB,5.12,17.77,7.19,0.84,8,2412.0*,48.7,Y,CGFB20230914,10:32,,
194,9/14/2023,CGFB,78.66,4.55,7.4,4.1,7.31,357.9*,64,,,,,
195,9/14/2023,CGFB,70.79,4.59,7.08,0.2,7.51,265.1*,43,,,,,
196,9/14/2023,CGFB,60.69,4.68,7.18,0.2,7.54,265.3*,42,,,,,
197,9/14/2023,CGFB,50.69,4.8,7.59,0.23,7.64,265.1*,40,,,,,
198,9/14/2023,CGTR,0,13.27,7.28,0.27,7.46,267.0*,42.7,Y,CGTR20230914,13:46,,
,09/15/2023,DTFB,0,19.34,8.44,0.8,7.05,299.6*,41.6,Y,DTFB20230915,10:35,,
,09/15/2023,DTFB,50.67,6.14,11.08,0.25,6.93,277.2*,,Y,,15:41,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,40.66,7.26,10.04,0.23,6.8,276.8*,,Y,,15:44,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,30.53,12.96,8.53,0.41,6.57,276.8*,,Y,,15:48,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,20.43,16.29,7.43,1.16,6.58,278.6*,,Y,,15:52,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,15.43,19.26,7.98,1.45,7.15,276.6*,,Y,,15:55,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,10.39,19.32,7.45,1.78,7.19,276.8*,,Y,,16:01,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,5.44,19.39,8.11,1.18,7.21,277.7*,,Y,,16:04,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,85.63,5.68,10.06,0.24,7.05,278.4*,,Y,,15:36,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,78.34,5.67,8.63,0.21,7.4,278.9*,,Y,,13:40,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,68.92,5.78,8.76,0.2,7.33,278.5*,,Y,,13:44,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
,09/15/2023,DTFB,59.92,5.97,8.66,0.2,7.27,278.5*,,Y,,13:57,"These readings were taken on a time-tigger file on the sonde because the surveyor was malfunctioning, but worked for long enough after additional charging efforts to establish a multi-hour long time-trigger file on the sonde that we used to collect these data points. Also I (SF) programed the wrong conductivity measurement so no usable readings were recorded. I used mS/cm instead of µS/cm by mistake so the sonde rounded down the values to 0, which does at least indicate the values were very low, below 50 µS/cm.",
201,10/10/2023,BVFB,0,18.08,11.04,4.54,7.3,498.0*,147.4,Y,BVFB20231010,9:58,,
202,10/13/2023,DTFB,0,16.61,6.04,3.26,6.78,500.0*,42.7,Y,DTFB20231013,11:22,,
